Customer,Date,Document Number,SFCC Create WO,Item: Name,Item: Display Name,Quantity,Amount (Net)
CUST466 Default SFCC Customer,5/12/2025,SO0107626,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/12/2025,SO0107626,No,S005286,Cure Pink Lobster Wristlet,2,60
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,S004854,Multicolor Nautilus Convertible Bucket Bag,1,101.25
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,V007008-059,Vintage Colored Dacron Baguette Bag,1,170
CUST466 Default SFCC Customer,5/12/2025,SO0107628,No,V007005-278,Vintage Voyager Small Crossbody,1,95
CUST466 Default SFCC Customer,5/12/2025,SO0107631,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107631,No,V007005-047,Vintage Royal Blue Small Voyager Crossbody Bag,1,85.5
CUST466 Default SFCC Customer,5/12/2025,SO0107633,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107633,No,S005257,2025 Graduation Wristlet Red,1,27
CUST466 Default SFCC Customer,5/12/2025,SO0107634,No,S005181,Nantucket Red Chebeague Crossbody Bag,1,150
CUST466 Default SFCC Customer,5/12/2025,SO0107635,No,V007006-242,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107636,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107636,No,S004134ZP,Tote Large Stripe Rose Gold on Navy Mariner Print with Zip Top and Hanging Pocket,1,238.5
CUST466 Default SFCC Customer,5/12/2025,SO0107637,No,T003449,Turks Head Oyster Bracelet - Oyster - Extra Large,1,38
CUST466 Default SFCC Customer,5/12/2025,SO0107639,No,S005257,2025 Graduation Wristlet Red,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107641,No,S003985,Ogunquit Tote Navy Anchor,1,250
CUST466 Default SFCC Customer,5/12/2025,SO0107642,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107642,No,V004699,Vintage Nantucket Red Crew Belt Bag,1,58.5
CUST466 Default SFCC Customer,5/12/2025,SO0107644,No,S003032,Navy State of Florida Change Purse,1,12.75
CUST466 Default SFCC Customer,5/12/2025,SO0107644,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,S001699,White on Navy Octopus Tote Large,1,178.38
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,S001591,Four Leaf Clover Wine Bag,1,30.87
CUST466 Default SFCC Customer,5/12/2025,SO0107648,No,S001993,Chebeague Weekender,1,233.75
CUST466 Default SFCC Customer,5/12/2025,SO0107648,No,S004975,Wavy Seas Wristlet,1,25.5
CUST466 Default SFCC Customer,5/12/2025,SO0107648,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107649,No,S002021CP,Golden Retriever Large Tote with Clasp and Hanging Pocket,1,199.75
CUST466 Default SFCC Customer,5/12/2025,SO0107649,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,No,S005312,ALPHA Signal Flag Large Tote,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,No,V000021-904,Weekender Vintage,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,No,S002010,Navy Anchor Slim Crossbody Bag,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,No,S002037,Lobster Pound Beverage Bucket Bag,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107653,No,V007006-248,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107655,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107655,No,V007006-026,Vintage Blue Medium Voyager Crossbody Bag,1,106.25
CUST466 Default SFCC Customer,5/12/2025,SO0107655,No,S002501,Octopus Large Cosmetic Bag,1,42.5
CUST466 Default SFCC Customer,5/12/2025,SO0107657,No,S003906,Tote Large Multicolor Octopus,1,195
CUST466 Default SFCC Customer,5/12/2025,SO0107658,No,S001723,Red Mariner Stripe Beverage Bucket,1,75
